hw,launch_day,maker,full_name
PS5,2020-11-12,SONY,PlayStation5
XSX,2020-11-10,Microsoft,Xbox Series X|S
Switch,2017-03-03,Nintendo,Nintendo Switch
XBOne,2014-09-04,Microsoft,XboxOne
PS4,2014-02-22,SONY,PlayStation4
WiiU,2012-11-18,Nintendo,WiiU
Vita,2011-12-17,SONY,PlayStation Vita
3DS,2011-02-26,Nintendo,Nintendo 3DS
Wii,2006-12-02,Nintendo,Wii
PS3,2006-11-11,SONY,PlayStation3
XB360,2005-12-10,Microsoft,Xbox360
DS,2004-12-02,Nintendo,Nintendo DS
PSP,2004-12-12,SONY,PlayStation Portable
Xbox,2001-11-15,Microsoft,Xbox
GC,2001-09-14,Nintendo,Nintendo GAMECUBE
GBA,2001-03-21,Nintendo,GAME BOY ADVANCE
PS2,2000-03-04,SONY,PlayStation2
WS,1999-03-04,BANDAI,WonderSwan
PKS,1999-01-23,SONY,PocketStation
DC,1998-11-27,SEGA,DreamCast
NeoGeoP,1998-10-28,SNK,NeoGeo Pocket
GB,1989-04-21,Nintendo,GAME BOY
N64,1996-6-23,Nintendo,NINTENDO64
PS,1994-12-03,SONY,PlayStation
SATURN,1994-11-22,SEGA,SEGA SATURN